Identificador,Plantel
3892,120-INSTITUTO UNIVERSITARIO AURIGA. A.C.
3893,121-PREPARATORIA REGIONAL DE ZUMPANGO. A.C.
3894,122-PREPARATORIA REGIONAL DE NEXTLALPAN. A.C.
3895,123-INSTITUTO REGIONAL DE VILLA CUAUHTEMOC HORACIO ...
3896,124-CENTRO UNIVERSITARIO DE SAN FELIPE DEL PROGRESO...
3897,125-PREPARATORIA REGIONAL DE HUIXQUILUCAN. A.C.
3898,126-PREPARATORIA REGIONAL DE VILLA DEL CARBON. A.C.
3899,127-LICEO DEL VALLE DE TOLUCA. S.C.
3900,128-UNIDAD CULTURAL ISRAEL. S.C.
3901,129-PREPARATORIA REGIONAL ATLACOMULCO. A.C.
3902,130-PREPARATORIA REGIONAL TEJUPILCO. A.C.
3903,"131-CENTRO UNIVERSITARIO DE ACAMBAY. ""JUAN DEL MAZO..."
3904,"132-INSTITUTO DE ESTUDIOS SUPERIORES ""ISIDRO FABELA..."
3905,133-IUYTEM INSTITUTO UNIVERSITARIO Y TECNOLOGICO DE...
3906,134-INSTITUTO CULTURAL CUMBRES DEL SABER. S.C.
64500366,135-ESCUELA MONTESSORI. A.C.
64500367,136-INSTITUTO CULTURAL EFIHME S.C.
3907,137-CENTRO DE ESTUDIOS SUPERIORES ATENEA PALAS. S.C.
34324538,138-PLANTEL INSTITUTO UNIVERSITARIO DE ATLACOMULCO
75630513,140-INSTITUTO UNIVERSITARIO REGIONAL DE TENANGO DEL...
64500368,141-INSTITUTO CULTURAL CUSPIDE DEL SABER S.C.
3908,142-COLEGIO CULTURAL CUAUHTEMOC. S.C.
3909,143-CENTRO UNIVERSITARIO DE VALLE DE BRAVO
151378744,144-INSTITUTO DE EDUCACION MEDIA SUPERIOR KAIROS DE...
36845231,145-COLEGIO PLANCARTE. A. C.
148341037,146-CENTRO UNIVERSITARIO DE VALLE DE BRAVO. ESTADO ...
148341038,147-ARGOS PREPARATORY ACADEMY. S. C.
64500370,148-INSTITUTO EDUCATIVO ESPAÑA. S.C.
64500369,149-INSTITUTO MISIONES DE SANTA ESPERANZA. S.C.
64500371,150-CENTRO UNIVERSITARIO LICEO MEXIQUENSE. S.C
45902004,151-INSTITUTO UNIVERSITARIO CUITLAHUAC A.C.
150881331,152-CENTRO DE FORMACION EDUCATIVOS DE TEMOAYA. S.C.
104242233,153-UNIDAD PEDAGOGICA INTEGRAL ESTADO DE MÉXICO. S.C.
103623113,154-INSTITUTO BALUARTE DE METEPEC. S.C.
173572658,155-COLEGIO COUNTRY CLUB IXTAPAN. S. C.
173572659,156-UNIVERSIDAD DE LA SALUD DEL ESTADO DE MÉXICO. S.C.
208013920,157-SERVICIOS INTEGRALES EDUCATIVOS PEMO. S.C.
218172764,158-UNIVERSIDAD TECNOLÓGICA DE MÉXICO. S.C.
218172765,159-UNIVERSIDAD CENTROAMERICANA. S.C.
218172766,160-CENTRO UNIVERSITARIO PARA ADMINISTRACIÓN DE NEG...
227683788,161-COLEGIO EDUCACIÓN Y PATRIA. S.C.
238637723,162-UNIVERSIDAD DEL VALLE DE MEXICO. S.C.
238637724,163-SIRIUS CAMPUS UNIVERSITARIO S.C.
251481523,164-UNIVERSIDAD TOMINAGA NAKAMOTO S.C.
251481524,"165-""SERVICIOS EDUCATIVOS INTEGRALES"". S.C."
263956329,166-INSTITUTO DE FORMACION ARCADIO HENKEL SANCHEZ S.C.
263956331,167-BACHILLERATO CAET (TRUPER S.A DE C.V.)
263956333,168-UNIVERSIDAD MEXICANA DE INNOVACION EN NEGOCIOS ...
263956335,169-UNIVERSIDAD DE LA SALUD Y ENSEÑANZA ADMINISTRAT...
263956337,170-INSTITUTO UNIVERSITARIO DEL ESTADO DE MEXICO S.C.
266935703,171-CENTRO UNIVERSITARIO DE VILLA VICTORIA A. C.
257966521,30E-ESCUELA DE ENFERMERIA DEL COLEGIO DE LA COMUNID...
215675483,81E-ESCUELA DE ENFERMERIA DEL CENTRO UNIVERSITARIO ...
274989727,172-PREPARATORIA ESTADO DE MEXICO DE EDUCACION INTE...
211426174,1002-ESCUELA DE INGENIEROS EN SOFTWARE
211426561,700-UNIVERSIDAD DE HILDESHEIM - ALEMANIA
211426562,701-UNIVERSIDAD TÉCNICA DE MUNICH - ALEMANIA
211426563,702-UNIVERSIDAD NACIONAL DEL NORDESTE - ARGENTINA
211426564,703-UNIVERSIDAD NACIONAL DE CUYO - ARGENTINA
211426566,704-UNIVERSIDAD DE MORÓN - ARGENTINA
211426567,705-UNIVESIDAD NACIONAL ARTURO JAURETCHE - ARGENTINA
214251698,706-UNIVERSIDAD NACIONAL DEL COMAHUE - ARGENTINA
214251699,707-UNIVERSIDAD NACIONAL DEL LITORAL - ARGENTINA
214251700,708-UNIVERSIDAD NACIONAL DE LA PLATA - ARGENTINA
214251701,709-UNIVERSIDAD NACIONAL DE QUILMES - ARGENTINA
214251702,710-UNIVERSIDAD NACIONAL DE MAR DEL PLATA - ARGENTINA
214251703,711-UNIVERSIDAD NACIONAL DE SAN JUAN -  ARGENTINA
214251704,712-UNIVERSIDAD NACIONAL DE RIO CUARTO - ARGENTINA
214251705,713-UNIVERSIDAD FEDERAL DE SANTA CATARINA -BRASIL
214251706,714-INSTITUTO PROFESIONAL DUOC UC - CHILE
214251707,715-UNIVERSIDAD ALBERTO HURTADO - CHILE
214251708,716-UNIVERSIDAD AUSTRAL DE CHILE - CHILE
214251709,717-UNIVERSIDAD DE CHILE - CHILE
214251710,718-UNIVERSIDAD DE LA FRONTERA - CHILE
214251711,719-UNIVERSIDAD DE SAN SEBASTIÁN - CHILE
214251712,720-UNIVERSIDAD MAYOR - CHILE
214251713,721-UNIVERSIDAD COLEGIO MAYOR DE CUNDINAMARCA - COL...
214251714,722-UNIVERSIDAD DE ANTIOQUIA - COLOMBIA
214251715,723-UNIVERSIDAD DE CARTAGENA - COLOMBIA
214251716,724-UNIVERSIDAD DE  MANIZALES - COLOMBIA
214251717,725-UNIVERSIDAD DE MEDELLÍN - COLOMBIA
214251718,726-UNIVERSIDAD DEL TOLIMA - COLOMBIA
214251719,727-FUNDACIÓN UNIVERSITARIA DE CIENCIAS DE LA SALUD...
214251720,728-UNIVERSIDAD NACIONAL DE COLOMBIA - COLOMBIA
214251721,729-UNIVERSIDAD PONTIFICIA BOLIVARIANA - COLOMBIA
214251722,730-UNIVERSIDAD SANTO TOMAS - COLOMBIA
214251723,731-UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBI...
214251724,732-CORPORACIÓN UNIVERSITARIA DEL META - COLOMBIA
